Make,Model,Year,Body Size,Body Style,Cylinders,Engine Aspiration,Drivetrain,Transmission,Horsepower,Torque,MSRP,common_range,mid_high_range,luxury_range,extreme_range
Aston Martin,DB11,2023,Midsize,Convertible,V8,Twin-Turbo,RWD,automatic,528.0,497.0,233200.0,0,0,1,0
Aston Martin,DB11,2023,Midsize,Coupe,V8,Twin-Turbo,RWD,automatic,528.0,497.0,217000.0,0,0,1,0
Aston Martin,DBX707,2023,Large,SUV,V8,Twin-Turbo,AWD,automatic,697.0,663.0,236000.0,0,0,1,0
Aston Martin,DBX707,2024,Large,SUV,V8,Twin-Turbo,AWD,automatic,697.0,663.0,242000.0,0,0,1,0
Aston Martin,Vantage,2023,Compact,Convertible,V12,Twin-Turbo,RWD,automatic,690.0,555.0,348700.0,0,0,0,1
Aston Martin,Vantage,2023,Compact,Convertible,V8,Twin-Turbo,RWD,automatic,503.0,505.0,159800.0,0,1,0,0
Aston Martin,Vantage,2023,Compact,Convertible,V8,Twin-Turbo,RWD,automatic,528.0,505.0,187000.0,0,0,1,0
Aston Martin,Vantage,2023,Compact,Coupe,V12,Twin-Turbo,RWD,automatic,690.0,555.0,298200.0,0,0,0,1
Aston Martin,Vantage,2023,Compact,Coupe,V8,Twin-Turbo,RWD,automatic,503.0,505.0,148200.0,0,1,0,0
Audi,A3,2023,Compact,Sedan,I4,Turbocharged,AWD,automatic,201.0,221.0,39100.0,1,0,0,0
Audi,A3,2023,Compact,Sedan,I4,Turbocharged,FWD,automatic,201.0,221.0,37100.0,1,0,0,0
Audi,A3,2024,Compact,Sedan,I4,Turbocharged,AWD,automatic,201.0,221.0,39600.0,1,0,0,0
Audi,A3,2024,Compact,Sedan,I4,Turbocharged,FWD,automatic,201.0,221.0,37600.0,1,0,0,0
Audi,A4,2023,Midsize,Sedan,I4,Turbocharged,AWD,automatic,201.0,236.0,45400.0,1,0,0,0
Audi,A4,2023,Midsize,Sedan,I4,Turbocharged,AWD,automatic,261.0,273.0,47000.0,1,0,0,0
Audi,A4,2024,Midsize,Sedan,I4,Turbocharged,AWD,automatic,201.0,236.0,46100.0,1,0,0,0
Audi,A4,2024,Midsize,Sedan,I4,Turbocharged,AWD,automatic,261.0,273.0,47700.0,1,0,0,0
Audi,A4 allroad,2023,Midsize,Wagon,I4,Turbocharged,AWD,automatic,261.0,273.0,50500.0,1,0,0,0
Audi,A4 allroad,2024,Midsize,Wagon,I4,Turbocharged,AWD,automatic,261.0,273.0,51200.0,1,0,0,0
Audi,A5,2023,Midsize,Convertible,I4,Turbocharged,AWD,automatic,261.0,273.0,59000.0,1,0,0,0
Audi,A5,2023,Midsize,Coupe,I4,Turbocharged,AWD,automatic,261.0,273.0,51800.0,1,0,0,0
Audi,A5,2023,Midsize,Hatchback,I4,Turbocharged,AWD,automatic,201.0,236.0,49700.0,1,0,0,0
Audi,A5,2023,Midsize,Hatchback,I4,Turbocharged,AWD,automatic,261.0,273.0,51800.0,1,0,0,0
Audi,A5,2024,Midsize,Convertible,I4,Turbocharged,AWD,automatic,261.0,273.0,59700.0,1,0,0,0
Audi,A5,2024,Midsize,Coupe,I4,Turbocharged,AWD,automatic,261.0,273.0,52500.0,1,0,0,0
Audi,A5,2024,Midsize,Hatchback,I4,Turbocharged,AWD,automatic,201.0,236.0,50400.0,1,0,0,0
Audi,A5,2024,Midsize,Hatchback,I4,Turbocharged,AWD,automatic,261.0,273.0,52500.0,1,0,0,0
Audi,A6,2023,Large,Sedan,I4,Turbocharged,AWD,automatic,261.0,273.0,58850.0,1,0,0,0
Audi,A6,2023,Large,Sedan,V6,Turbocharged,AWD,automatic,335.0,369.0,64700.0,1,0,0,0
Audi,A6,2024,Large,Sedan,I4,Turbocharged,AWD,automatic,261.0,273.0,59850.0,1,0,0,0
Audi,A6,2024,Large,Sedan,V6,Turbocharged,AWD,automatic,335.0,369.0,66100.0,1,0,0,0
Audi,A6 allroad,2023,Midsize,Wagon,V6,Turbocharged,AWD,automatic,335.0,369.0,70650.0,1,0,0,0
Audi,A6 allroad,2024,Midsize,Wagon,V6,Turbocharged,AWD,automatic,335.0,369.0,71950.0,1,0,0,0
Audi,A7,2023,Large,Sedan,V6,Turbocharged,AWD,automatic,335.0,369.0,75350.0,1,0,0,0
