Make,Model,Count
Aston Martin,DB11,2
Aston Martin,DBX707,2
Aston Martin,Vantage,5
Audi,A3,8
Audi,A4,12
Audi,A4 allroad,6
Audi,A5,24
Audi,A6,10
Audi,A6 allroad,4
Audi,A7,6
Audi,A8,2
Audi,Q3,8
Audi,Q4 Sportback e-tron,9
Audi,Q4 e-tron,13
Audi,Q5,18
Audi,Q5 Sportback,6
Audi,Q7,10
Audi,Q8,6
Audi,Q8 Sportback e-tron,3
Audi,Q8 e-tron,3
Audi,R8,5
Audi,RS 3,2
Audi,RS 5,4
Audi,RS 6,2
Audi,RS 7,2
Audi,RS Q8,2
Audi,RS e-tron GT,2
Audi,S3,6
Audi,S4,6
Audi,S5,18
Audi,S6,6
Audi,S7,6
Audi,S8,2
Audi,SQ5,6
Audi,SQ5 Sportback,6
Audi,SQ7,4
Audi,SQ8,4
Audi,SQ8 Sportback e-tron,2
Audi,SQ8 e-tron,2
Audi,TT,2
Audi,TTS,1
Audi,e-tron,3
Audi,e-tron GT,4
Audi,e-tron S,2
Audi,e-tron S Sportback,2
Audi,e-tron Sportback,3
BMW,2 Series,8
BMW,2 Series Gran Coupe,6
BMW,3 Series,12
BMW,4 Series,16
BMW,4 Series Gran Coupe,8
BMW,5 Series,10
BMW,7 Series,6
BMW,8 Series,12
BMW,8 Series Gran Coupe,6
BMW,ALPINA B8 Gran Coupe,2
BMW,ALPINA XB7,2
BMW,M2,2
BMW,M3,6
BMW,M3 CS,1
BMW,M4,8
BMW,M4 CSL,1
BMW,M5,1
BMW,M8,4
BMW,M8 Gran Coupe,2
BMW,X1,3
BMW,X2,4
BMW,X3,6
BMW,X3 M,2
BMW,X4,4
BMW,X4 M,2
BMW,X5,8
BMW,X5 M,2
BMW,X6,4
BMW,X6 M,2
BMW,X7,4
BMW,XM,3
BMW,Z4,4
BMW,i4,7
BMW,i5,2
BMW,i7,4
BMW,iX,4
Bentley,Bentayga,16
Bentley,Bentayga EWB,6
Bentley,Continental,28
Bentley,Flying Spur,23
Ford,Bronco,41
Ford,Bronco Sport,11
Ford,E-Transit Cargo Van,15
Ford,Edge,10
Ford,Escape,32
Ford,Expedition,46
Ford,Explorer,34
Ford,F-150,66
Ford,F-150 Lightning,9
Ford,F-250 Super Duty,50
Ford,F-350 Super Duty,78
Ford,F-450 Super Duty,20
Ford,Maverick,6
Ford,Mustang,16
Ford,Mustang Mach-E,15
Ford,Ranger,19
Ford,Transit Cargo Van,84
Ford,Transit Connect Cargo Van,8
Ford,Transit Connect Passenger Wagon,5
Ford,Transit Crew Van,32
Ford,Transit Passenger Van,29
Mercedes-Benz,AMG GT,10
Mercedes-Benz,C-Class,15
Mercedes-Benz,CLA-Class,8
Mercedes-Benz,CLE,5
Mercedes-Benz,CLS-Class,1
Mercedes-Benz,E-Class,16
Mercedes-Benz,EQB,6
Mercedes-Benz,EQE,8
Mercedes-Benz,EQE SUV,7
Mercedes-Benz,EQS,8
Mercedes-Benz,EQS SUV,6
Mercedes-Benz,G-Class,6
Mercedes-Benz,GLA-Class,7
Mercedes-Benz,GLB-Class,6
Mercedes-Benz,GLC-Class,5
Mercedes-Benz,GLC-Class Coupe,4
Mercedes-Benz,GLE-Class,12
Mercedes-Benz,GLE-Class Coupe,4
Mercedes-Benz,GLS-Class,6
Mercedes-Benz,Maybach,4
Mercedes-Benz,Maybach EQS SUV,1
Mercedes-Benz,Maybach GLS,2
Mercedes-Benz,Metris,3
Mercedes-Benz,S-Class,7
Mercedes-Benz,SL-Class,6
Mercedes-Benz,Sprinter,97
Mercedes-Benz,eSprinter,2
Nissan,ARIYA,19
Nissan,Altima,16
Nissan,Armada,14
Nissan,Frontier,38
Nissan,GT-R,5
Nissan,Kicks,6
Nissan,LEAF,4
Nissan,Maxima,3
Nissan,Murano,14
Nissan,Pathfinder,18
Nissan,Rogue,24
Nissan,Sentra,6
Nissan,Titan,17
Nissan,Titan XD,7
Nissan,Versa,8
Nissan,Z,11
