Make,Model,Year,MSRP,Body Size,Body Style,Cylinders,Engine Aspiration,Drivetrain,Transmission,Horsepower,Torque
Aston Martin,DBX707,2024,242000.0,Large,SUV,V8,Twin-Turbo,AWD,automatic,697.0,663.0
Audi,A3,2024,35800.0,Compact,Sedan,I4,Turbocharged,FWD,automatic,201.0,221.0
Audi,A3,2024,37800.0,Compact,Sedan,I4,Turbocharged,AWD,automatic,201.0,221.0
Audi,A3,2024,41400.0,Compact,Sedan,I4,Turbocharged,AWD,automatic,201.0,221.0
Audi,A3,2024,39400.0,Compact,Sedan,I4,Turbocharged,FWD,automatic,201.0,221.0
Audi,A4,2024,41900.0,Midsize,Sedan,I4,Turbocharged,AWD,automatic,201.0,236.0
Audi,A4,2024,46100.0,Midsize,Sedan,I4,Turbocharged,AWD,automatic,201.0,236.0
Audi,A4,2024,47700.0,Midsize,Sedan,I4,Turbocharged,AWD,automatic,261.0,273.0
Audi,A4,2024,44100.0,Midsize,Sedan,I4,Turbocharged,AWD,automatic,261.0,273.0
Audi,A4,2024,51300.0,Midsize,Sedan,I4,Turbocharged,AWD,automatic,201.0,236.0
Audi,A4,2024,52000.0,Midsize,Sedan,I4,Turbocharged,AWD,automatic,261.0,273.0
Audi,A4 allroad,2024,47600.0,Midsize,Wagon,I4,Turbocharged,AWD,automatic,261.0,273.0
Audi,A4 allroad,2024,51200.0,Midsize,Wagon,I4,Turbocharged,AWD,automatic,261.0,273.0
Audi,A4 allroad,2024,56500.0,Midsize,Wagon,I4,Turbocharged,AWD,automatic,261.0,273.0
Audi,A5,2024,46200.0,Midsize,Hatchback,I4,Turbocharged,AWD,automatic,201.0,236.0
Audi,A5,2024,50400.0,Midsize,Hatchback,I4,Turbocharged,AWD,automatic,201.0,236.0
Audi,A5,2024,52500.0,Midsize,Hatchback,I4,Turbocharged,AWD,automatic,261.0,273.0
Audi,A5,2024,52500.0,Midsize,Coupe,I4,Turbocharged,AWD,automatic,261.0,273.0
Audi,A5,2024,59700.0,Midsize,Convertible,I4,Turbocharged,AWD,automatic,261.0,273.0
Audi,A5,2024,48400.0,Midsize,Hatchback,I4,Turbocharged,AWD,automatic,261.0,273.0
Audi,A5,2024,48400.0,Midsize,Coupe,I4,Turbocharged,AWD,automatic,261.0,273.0
Audi,A5,2024,55600.0,Midsize,Convertible,I4,Turbocharged,AWD,automatic,261.0,273.0
Audi,A5,2024,55700.0,Midsize,Hatchback,I4,Turbocharged,AWD,automatic,201.0,236.0
Audi,A5,2024,56950.0,Midsize,Hatchback,I4,Turbocharged,AWD,automatic,261.0,273.0
Audi,A5,2024,56650.0,Midsize,Coupe,I4,Turbocharged,AWD,automatic,261.0,273.0
Audi,A5,2024,64700.0,Midsize,Convertible,I4,Turbocharged,AWD,automatic,261.0,273.0
Audi,A6,2024,58100.0,Large,Sedan,I4,Turbocharged,AWD,automatic,261.0,273.0
Audi,A6,2024,62600.0,Large,Sedan,V6,Turbocharged,AWD,automatic,335.0,369.0
Audi,A6,2024,61600.0,Large,Sedan,I4,Turbocharged,AWD,automatic,261.0,273.0
Audi,A6,2024,66100.0,Large,Sedan,V6,Turbocharged,AWD,automatic,335.0,369.0
Audi,A6,2024,71700.0,Large,Sedan,V6,Turbocharged,AWD,automatic,335.0,369.0
Audi,A6 allroad,2024,69300.0,Midsize,Wagon,V6,Turbocharged,AWD,automatic,335.0,369.0
Audi,A6 allroad,2024,74600.0,Midsize,Wagon,V6,Turbocharged,AWD,automatic,335.0,369.0
Audi,A7,2024,72000.0,Large,Sedan,V6,Turbocharged,AWD,automatic,335.0,369.0
Audi,A7,2024,76750.0,Large,Sedan,V6,Turbocharged,AWD,automatic,335.0,369.0
Audi,A7,2024,80550.0,Large,Sedan,V6,Turbocharged,AWD,automatic,335.0,369.0
Audi,A8,2024,90900.0,Large,Sedan,V6,Turbocharged,AWD,automatic,335.0,369.0
Audi,Q3,2024,37400.0,Compact,SUV,I4,Turbocharged,AWD,automatic,184.0,221.0
Audi,Q3,2024,40200.0,Compact,SUV,I4,Turbocharged,AWD,automatic,184.0,221.0
Audi,Q3,2024,42600.0,Compact,SUV,I4,Turbocharged,AWD,automatic,228.0,251.0
Audi,Q3,2024,39800.0,Compact,SUV,I4,Turbocharged,AWD,automatic,228.0,251.0
Audi,Q4 Sportback e-tron,2024,58200.0,Midsize,SUV,,Electric Motor,AWD,automatic,295.0,339.0
Audi,Q4 Sportback e-tron,2024,58200.0,Midsize,SUV,,Electric Motor,AWD,automatic,335.0,
Audi,Q4 Sportback e-tron,2024,62900.0,Midsize,SUV,,Electric Motor,AWD,automatic,295.0,339.0
Audi,Q4 Sportback e-tron,2024,62900.0,Midsize,SUV,,Electric Motor,AWD,automatic,335.0,
Audi,Q4 Sportback e-tron,2024,65200.0,Midsize,SUV,,Electric Motor,AWD,automatic,295.0,339.0
Audi,Q4 Sportback e-tron,2024,65200.0,Midsize,SUV,,Electric Motor,AWD,automatic,335.0,
Audi,Q4 e-tron,2024,49800.0,Midsize,SUV,,Electric Motor,RWD,automatic,201.0,229.0
Audi,Q4 e-tron,2024,55200.0,Midsize,SUV,,Electric Motor,AWD,automatic,295.0,339.0
Audi,Q4 e-tron,2024,55200.0,Midsize,SUV,,Electric Motor,AWD,automatic,335.0,
Audi,Q4 e-tron,2024,54500.0,Midsize,SUV,,Electric Motor,RWD,automatic,201.0,229.0
Audi,Q4 e-tron,2024,59900.0,Midsize,SUV,,Electric Motor,AWD,automatic,295.0,339.0
Audi,Q4 e-tron,2024,59900.0,Midsize,SUV,,Electric Motor,AWD,automatic,335.0,
Audi,Q4 e-tron,2024,62200.0,Midsize,SUV,,Electric Motor,AWD,automatic,295.0,339.0
Audi,Q4 e-tron,2024,62200.0,Midsize,SUV,,Electric Motor,AWD,automatic,335.0,
Audi,Q5,2024,45300.0,Midsize,SUV,I4,Turbocharged,AWD,automatic,201.0,236.0
Audi,Q5,2024,50100.0,Midsize,SUV,I4,Turbocharged,AWD,automatic,201.0,236.0
Audi,Q5,2024,53000.0,Midsize,SUV,I4,Turbocharged,AWD,automatic,261.0,273.0
Audi,Q5,2024,62400.0,Midsize,SUV,I4,Turbocharged,AWD,automatic,362.0,369.0
Audi,Q5,2024,48200.0,Midsize,SUV,I4,Turbocharged,AWD,automatic,261.0,273.0
Audi,Q5,2024,58500.0,Midsize,SUV,I4,Turbocharged,AWD,automatic,362.0,369.0
Audi,Q5,2024,55600.0,Midsize,SUV,I4,Turbocharged,AWD,automatic,201.0,236.0
Audi,Q5,2024,58100.0,Midsize,SUV,I4,Turbocharged,AWD,automatic,261.0,273.0
Audi,Q5,2024,67700.0,Midsize,SUV,I4,Turbocharged,AWD,automatic,362.0,369.0
